URL,Listing_ID,Type,Subtype,Price,Bedroom,Living_area,Listing_address,Postal_code,Locality,District,Swimming_pool,Garden,Garden_area,Surface_of_land,Terrace,Kitchen,Facade,Open Fire,Furnished,State of the building
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/heer/5543/10669564,10669564,house group,house group,329000 - 329000,,,rue du Réservoir 39,5543,HEER,Dinant,False,,,,True,,,False,,
https://www.immoweb.be/en/classified/apartment/for-sale/hasti%C3%A8re/5540/10669563,10669563,apartment,apartment,140000,2,65.0,Rue Fernand Champt 21,5540,Hastière,Dinant,False,,,,True,,,False,,GOOD
https://www.immoweb.be/en/classified/house/for-sale/la%20louviere/7100/10669562,10669562,house,house,65000,2,92.0,None None,7100,La Louviere,Soignies,False,True,30,210,True,installed,3.0,False,False,
https://www.immoweb.be/en/classified/villa/for-sale/wilrijk/2610/10669560,10669560,house,villa,1845000,4,306.0,Prins Karellaan 10,2610,Wilrijk,Antwerp,True,True,,1157,True,installed,4.0,True,False,AS_NEW
https://www.immoweb.be/en/classified/house/for-sale/menen/8930/10669555,10669555,house,house,330000,4,176.0,Hogeweg 354,8930,Menen,Kortrijk,False,,,952,True,,,False,,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10669554,10669554,apartment,apartment,340000,2,85.0,Santosstraat 6,9000,Gent,Gent,False,,,,True,,,False,,AS_NEW
https://www.immoweb.be/en/classified/ground-floor/for-sale/ath/7800/10669553,10669553,apartment,ground floor,159000,2,116.0,Rue Haute 23,7800,Ath,Ath,False,,,,True,,2.0,False,,GOOD
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/wavre/1300/10350268,10350268,house,mixed use building,325000,1,149.0,Rue des Brasseries 14,1300,Wavre,Nivelles,False,,,0,True,installed,2.0,False,False,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/fosses-la-ville/5070/10669552,10669552,apartment,apartment,170000,2,100.0,Place du Chapitre 6,5070,Fosses-la-Ville,Namur,False,,,,True,installed,3.0,False,False,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/10669550,10669550,apartment,apartment,225000,3,135.0,Jules Peurquaetstraat 2,8400,Oostende,Oostend,False,,,,True,,,False,,
https://www.immoweb.be/en/classified/house/for-sale/oostende/8400/10669549,10669549,house,house,799000,5,480.0,Hertogenplein 6,8400,Oostende,Oostend,False,,,718,True,,4.0,False,False,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/house/for-sale/turnhout/2300/10669545,10669545,house,house,209000,4,135.0,Fabriekstraat 3,2300,Turnhout,Turnhout,False,,,113,True,,2.0,False,,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/brugge%20assebroek/8310/10669532,10669532,house group,house group,376500 - 394000,,,Astridlaan 192-194,8310,Brugge Assebroek,Brugge,False,,,,True,,,False,,
https://www.immoweb.be/en/classified/country-cottage/for-sale/herzele/9550/10669522,10669522,house,country cottage,999000,5,430.0,Kruisweg 27,9550,Herzele,Aalst,False,True,1200,1600,True,installed,3.0,False,True,GOOD
https://www.immoweb.be/en/classified/exceptional-property/for-sale/herzele/9550/10669521,10669521,house,exceptional property,999000,5,430.0,Kruisweg 27,9550,Herzele,Aalst,False,True,1200,1600,True,installed,3.0,False,True,GOOD
https://www.immoweb.be/en/classified/house/for-sale/liege/4020/10669519,10669519,house,house,105000,2,75.0,Rue Victor Carpentier 3,4020,Liege,Liège,False,,,36,True,semi equipped,2.0,False,False,GOOD
https://www.immoweb.be/en/classified/house/for-sale/li%C3%A8ge%20bressoux/4020/10669518,10669518,house,house,129000,1,60.0,de la Plaine 24,4020,Liège Bressoux,Liège,False,,,70,True,semi equipped,2.0,False,False,GOOD
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/dour/7370/10669515,10669515,house,mixed use building,295000,4,318.0,Rue Decrucq 18,7370,Dour,Mons,False,True,43,218,True,,3.0,False,,GOOD
https://www.immoweb.be/en/classified/villa/for-sale/knokke-heist/8300/10669509,10669509,house,villa,2195000,4,300.0,Leliedreef 5,8300,Knokke-Heist,Brugge,True,True,630,879,True,hyper equipped,4.0,False,True,AS_NEW
https://www.immoweb.be/en/classified/exceptional-property/for-sale/brussels%20city/1000/10669508,10669508,house,exceptional property,960000,6,400.0,None None,1000,Brussels City,Brussels,False,True,290,1090,True,usa hyper equipped,3.0,False,False,AS_NEW
https://www.immoweb.be/en/classified/house/for-sale/anderlecht/1070/10669506,10669506,house,house,399000,4,170.0,Rue Maria Tillmans 25,1070,Anderlecht,Brussels,False,True,140,210,True,semi equipped,2.0,False,False,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/villa/for-sale/wavre/1300/10669505,10669505,house,villa,435000,4,185.0,Rue des Coquelicots 7,1300,Wavre,Nivelles,False,True,526,748,True,usa installed,4.0,False,False,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/trazegnies/6183/10669499,10669499,apartment,apartment,155000,2,60.0,Rue de Gosselies 245,6183,Trazegnies,Charleroi,False,,,,True,installed,2.0,False,False,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/trazegnies/6183/10669498,10669498,apartment,apartment,155000,2,83.0,Rue de Gosselies 245,6183,Trazegnies,Charleroi,False,,,,True,,2.0,False,False,GOOD
https://www.immoweb.be/en/classified/house/for-sale/beyne-heusay/4610/10669487,10669487,house,house,22500,4,120.0,Rue Ernest Malvoz 57,4610,Beyne-Heusay,Liège,False,True,40,280,True,,3.0,False,False,GOOD
https://www.immoweb.be/en/classified/penthouse/for-sale/liege/4000/10669486,10669486,apartment,penthouse,179000,1,41.0,Quai de Rome 51,4000,Liege,Liège,False,,,,True,,,False,False,GOOD
https://www.immoweb.be/en/classified/villa/for-sale/charleroi%20gilly/6060/10669485,10669485,house,villa,445000,4,320.0,None None,6060,Charleroi Gilly,Charleroi,True,,,1800,True,hyper equipped,4.0,False,,AS_NEW
https://www.immoweb.be/en/classified/triplex/for-sale/saint-gilles/1060/10669483,10669483,apartment,triplex,425000,4,175.0,None None,1060,Saint-Gilles,Brussels,False,,,,True,hyper equipped,2.0,False,,AS_NEW
https://www.immoweb.be/en/classified/villa/for-sale/soignies/7061/10669482,10669482,house,villa,345000,3,177.0,None None,7061,Soignies,Soignies,False,True,1000,1100,True,usa installed,4.0,False,True,TO_RENOVATE
https://www.immoweb.be/en/classified/house/for-sale/marcinelle/6001/10669470,10669470,house,house,149000,3,,Rue Tienne Saint-Gilles 247,6001,Marcinelle,Charleroi,False,,,0,True,installed,2.0,False,False,GOOD
https://www.immoweb.be/en/classified/house/for-sale/zedelgem/8210/10586486,10586486,house,house,185000,3,132.0,Tulpenlaan 1,8210,Zedelgem,Brugge,False,,,216,True,,3.0,False,False,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10669461,10669461,apartment,apartment,595000,3,150.0,Avenue Francois Folie 24,1180,Uccle,Brussels,False,,,,True,hyper equipped,,False,False,AS_NEW
https://www.immoweb.be/en/classified/duplex/for-sale/aarschot/3200/10669460,10669460,apartment,duplex,239000,2,90.0,Marten Lemmensstraat 63,3200,Aarschot,Leuven,False,,,,True,,2.0,False,,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/dilbeek/1700/10669459,10669459,apartment,apartment,399500,3,115.0,"Rozenlaan 5,103",1700,Dilbeek,Halle-Vilvoorde,False,,,,True,installed,3.0,False,,AS_NEW
